mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013470315933227539,0.0022858597717105894,0.006714820861816406,0.00212209778524436,0.1,0.01,scale,rbf,"{'model__C': 0.1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.19274472081146657,-0.20858584019703397,-0.13717265229363687,0.07196963676064384,39
0.013101482391357422,0.0019150546308409077,0.007298040390014649,0.001940608931316916,0.1,0.01,scale,linear,"{'model__C': 0.1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.01604571342468262,0.007488058162004343,0.0068091869354248045,0.002192771927808714,0.1,0.01,auto,rbf,"{'model__C': 0.1, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.19274472081146657,-0.20858584019703397,-0.13717265229363687,0.07196963676064384,39
0.010722970962524414,0.001916662789227322,0.0046025276184082035,0.00048296099359392133,0.1,0.01,auto,linear,"{'model__C': 0.1, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.010430622100830077,0.0007707644765453538,0.005615711212158203,0.0012523009707629438,0.1,0.05,scale,rbf,"{'model__C': 0.1, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1882948918912449,-0.19182811709929137,-0.13565315423267219,0.06550119118933462,37
0.010580158233642578,0.0015093629038478373,0.004928684234619141,0.0007024174963764026,0.1,0.05,scale,linear,"{'model__C': 0.1, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.011642074584960938,0.0027279922524938967,0.005237960815429687,0.0012595800663920752,0.1,0.05,auto,rbf,"{'model__C': 0.1, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1882948918912449,-0.19182811709929137,-0.13565315423267219,0.06550119118933462,37
0.00990591049194336,0.0011761808881670206,0.005081796646118164,0.0010716251685851785,0.1,0.05,auto,linear,"{'model__C': 0.1, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.01068739891052246,0.0015610284795250478,0.005609655380249023,0.001109729285148425,0.1,0.1,scale,rbf,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.17807716938366136,-0.13264377486924542,0.06285631834427428,23
0.01034083366394043,0.0018507389874260775,0.0047760486602783205,0.0013772735235886822,0.1,0.1,scale,linear,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.1718065848437661,-0.1135574182638061,-0.11713059358646374,0.05596308625062459,9
0.010062694549560547,0.0015204517363889903,0.004115676879882813,0.00013776390794278124,0.1,0.1,auto,rbf,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.17807716938366136,-0.13264377486924542,0.06285631834427428,23
0.007691574096679687,0.0011861374811802997,0.003544187545776367,0.0009012852702218143,0.1,0.1,auto,linear,"{'model__C': 0.1, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.1718065848437661,-0.1135574182638061,-0.11713059358646374,0.05596308625062459,9
0.008402109146118164,0.0011934552133199964,0.004478883743286133,0.0004267427873128296,1.0,0.01,scale,rbf,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.1738350597796268,-0.19757484761755692,-0.1311885215713735,0.06711714101707687,17
0.009211349487304687,0.0008277176873256787,0.003931427001953125,0.0006042597155756812,1.0,0.01,scale,linear,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.008566045761108398,0.0013414811355711724,0.004810190200805664,0.0011863997948816725,1.0,0.01,auto,rbf,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.1738350597796268,-0.19757484761755692,-0.1311885215713735,0.06711714101707687,17
0.009946680068969727,0.0013894696598087167,0.006013727188110352,0.0021350550270176727,1.0,0.01,auto,linear,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.010059547424316407,0.0013233466339883026,0.004586029052734375,0.00022064133839525444,1.0,0.05,scale,rbf,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1802272688231698,-0.1876854786035332,-0.13321110191990554,0.06354470491362543,31
0.010474014282226562,0.0017664062514402754,0.006079816818237304,0.004535489896178656,1.0,0.05,scale,linear,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.010282230377197266,0.0017844343546725885,0.00490260124206543,0.0009866827694604474,1.0,0.05,auto,rbf,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1802272688231698,-0.1876854786035332,-0.13321110191990554,0.06354470491362543,31
0.008125877380371094,0.0008555992333447147,0.003784799575805664,0.0010533289285434245,1.0,0.05,auto,linear,"{'model__C': 1, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.009319448471069336,0.0007483932781264005,0.004130506515502929,0.00036258841739550293,1.0,0.1,scale,rbf,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.1781522624959864,-0.13265879349171042,0.0628671802455929,25
